e4d3,0.00631992,1;
c2b1,0.00337653,1;
h2g1,0.00819254,1;
h1h8,0.0231377,1;
b5a4,0.0085985,1;
Avg time,0.009925,4;
e4d3,0.00575394,2;
c2b1,0.00288526,2;
h2g1,0.00589514,2;
h1h8,0.0150478,2;
b5a4,0.00567429,2;
Avg time,0.007901,4;
e4d3,0.00532578,4;
c2b1,0.00259746,4;
h2g1,0.00268655,4;
h1h8,0.0121917,4;
b5a4,0.00466938,4;
Avg time,0.006851,4;
e4d3,0.00546564,8;
c2b1,0.00254991,8;
h2g1,0.002782,8;
h1h8,0.0105343,8;
b5a4,0.00441067,8;
Avg time,0.006260,4;
e4d3,0.00723489,12;
c2b1,0.00372459,12;
h2g1,0.00811303,12;
h1h8,0.0142114,12;
b5a4,0.00620722,12;
Avg time,0.006319,4;
e4d3,0.00788761,16;
c2b1,0.00421631,16;
h2g1,0.0113032,16;
h1h8,0.0143929,16;
b5a4,0.00646329,16;
Avg time,0.006478,4;
e4d3,0.0104718,24;
c2b1,0.00620784,24;
h2g1,0.0105447,24;
h1h8,0.0219322,24;
b5a4,0.00992121,24;
Avg time,0.006908,4;
e4d3,0.0114957,32;
c2b1,0.00609624,32;
h2g1,0.00956108,32;
h1h8,0.0204471,32;
b5a4,0.00979678,32;
Avg time,0.007203,4;
e4d3,0.0172927,64;
c2b1,0.0101462,64;
h2g1,0.0254671,64;
h1h8,0.0311877,64;
b5a4,0.014524,64;
Avg time,0.008111,4;
e4d3,0.025968,96;
c2b1,0.0277776,96;
h2g1,0.0415072,96;
h1h8,0.0447536,96;
b5a4,0.0202361,96;
Avg time,0.009752,4;
