e4d3,0.0725928,2;
c2b1,0.0253012,2;
h2g1,0.0482778,2;
h1h8,0.270381,2;
a7a8q,0.0896251,2;
Avg time,0.101236,6;
e4d3,0.0676374,4;
c2b1,0.0229463,4;
h2h1,0.0366515,4;
h1h8,0.218228,4;
a7a8q,0.0756989,4;
Avg time,0.085715,6;
e4d3,1.48406,8;
c2b1,0.622487,8;
h2h3,0.872291,8;
h1h8,3.55979,8;
a7a8q,1.6519,8;
Avg time,0.489727,6;
e4d3,0.0990686,12;
c2b1,0.0330274,12;
h2g1,0.0566022,12;
h1h8,0.266676,12;
a7a8q,0.103435,12;
Avg time,0.398206,6;
e4d3,0.110069,16;
c2b1,0.0383779,16;
h2g1,0.0641826,16;
h1h8,0.305392,16;
a7a8q,0.124663,16;
Avg time,0.345280,6;
e4d3,0.122552,24;
c2c3,0.0473123,24;
h2g1,0.0852908,24;
h1h8,0.343466,24;
a7a8q,0.140216,24;
Avg time,0.311959,6;
e4d3,0.154785,32;
c2c3,0.0563748,32;
h2g1,0.0939502,32;
h1h8,0.398477,32;
a7a8q,0.167525,32;
Avg time,0.290669,6;
e4d3,0.21434,64;
c2c3,0.103498,64;
h2g1,0.118665,64;
h1h8,0.610016,64;
a7a8q,0.261288,64;
Avg time,0.282591,6;
e4d3,0.272172,96;
c2c3,0.140055,96;
h2g1,0.172874,96;
h1h8,0.804994,96;
a7a8q,0.35905,96;
Avg time,0.283470,6;
