f6g5,0.020654,1;
f5e4,0.14628,1;
d4c5,0.297006,1;
c8f5,0.0932386,1;
b8d7,0.0866261,1;
Avg time,0.128761,4;
f6g5,0.022144,2;
f5e4,0.076464,2;
d4c5,0.140308,2;
c8f5,0.0821156,2;
b8d7,0.0498555,2;
Avg time,0.095288,4;
f6g5,0.0190046,4;
f5e4,0.0638141,4;
d4c5,0.136254,4;
c8f5,0.0801158,4;
b8d7,0.0383617,4;
Avg time,0.082963,4;
f6g5,0.240068,8;
f5e4,0.735479,8;
d4c5,1.15161,8;
c8f5,0.885999,8;
b8d7,0.791719,8;
Avg time,0.210159,4;
f6g5,0.0261325,12;
f5e4,0.0731657,12;
d4c5,0.151521,12;
c8f5,0.0972626,12;
b8d7,0.0614422,12;
Avg time,0.184358,4;
f6g5,0.0274124,16;
f5e4,0.0861319,16;
d4c5,0.159793,16;
c8f5,0.104208,16;
b8d7,0.0745534,16;
Avg time,0.168007,4;
f6g5,0.0296924,24;
f5e4,0.0881925,24;
d4c5,0.179081,24;
c8f5,0.128773,24;
b8d7,0.0881365,24;
Avg time,0.157493,4;
f6g5,0.034029,32;
f5e4,0.0951882,32;
d4c5,0.194438,32;
c8f5,0.119256,32;
b8d7,0.0990878,32;
Avg time,0.150030,4;
f6g5,0.0438547,64;
f5e4,0.132416,64;
d4c5,0.238698,64;
c8f5,0.173842,64;
b8d7,0.1264,64;
Avg time,0.146998,4;
f6g5,0.0650291,96;
f5e4,0.167292,96;
d4c5,0.297765,96;
c8f5,0.215551,96;
b8d7,0.166561,96;
Avg time,0.147442,4;
