h8f7,7.61141,8;
e1e2,0.00099214,8;
b7b3,34.413,8;
a6b7,42.2058,8;
h4g5,22.0483,8;
Avg time,21.255900,7;
h8f7,9.36089,12;
e1e2,0.00143025,12;
b7b3,35.5837,12;
a6b7,97.9706,12;
h4g5,28.663,12;
Avg time,24.926252,7;
h8f7,10.7476,16;
e1e2,0.00144095,16;
b7b3,36.88,16;
a6b7,180.8,16;
h4g5,30.578,16;
Avg time,30.686753,7;
h8f7,16.9374,24;
e1e2,0.00142855,24;
b7b3,41.2163,24;
a6b7,67.846,24;
h4g5,28.0995,24;
Avg time,29.532142,7;
h8f7,13.2056,32;
e1e2,0.00143124,32;
b7b3,44.3859,32;
a6b7,54.4561,32;
h4g5,31.3011,32;
Avg time,28.506605,7;
h8f7,20.3375,64;
e1e2,0.00143084,64;
b7b3,60.4196,64;
a6b7,57.2857,64;
h4g5,50.4871,64;
Avg time,28.943898,7;
h8f7,27.4932,96;
e1e2,0.00142824,96;
b7b3,78.5183,96;
a6b7,66.0539,96;
h4g5,50.0466,96;
Avg time,29.974750,7;
