f6g5,61.5878,8;
f6f7,371.633,8;
h5f3,54.1037,8;
c8f5,71.4621,8;
b8d7,48.009,8;
Avg time,121.359120,7;
f6g5,6.76184,12;
f6f7,40.4861,12;
h5f3,25.409,12;
c8f5,11.358,12;
b8d7,8.32663,12;
Avg time,68.374691,7;
f6g5,6.76761,16;
f6f7,40.1243,16;
h5f3,32.6762,16;
c8f5,9.97124,16;
b8d7,5.78586,16;
Avg time,51.799800,7;
f6g5,9.27055,24;
f6f7,81.8551,24;
h5f3,30.0677,24;
c8f5,13.036,24;
b8d7,10.251,24;
Avg time,45.402936,7;
f6g5,11.6725,32;
f6f7,76.8406,32;
h5f3,25.9079,32;
c8f5,10.6569,32;
b8d7,14.3113,32;
Avg time,41.371772,7;
f6g5,10.5674,64;
f6f7,76.0589,64;
h5f3,47.3474,64;
c8f5,16.2888,64;
b8d7,15.5865,64;
Avg time,39.312231,7;
f6g5,14.2029,96;
f6f7,81.7934,96;
h5f3,23.9973,96;
c8f5,16.5742,96;
b8d7,17.1589,96;
Avg time,37.564429,7;
