f5e4,0.195463,1;
e1e2,0.00111734,1;
b7b3,0.13184,1;
a6b7,0.316968,1;
c7c8q,0.108871,1;
Avg time,0.150852,4;
f5e4,0.103422,2;
e1e2,0.000676257,2;
b7b3,0.0912615,2;
a6b7,0.204695,2;
c7c8q,0.0649607,2;
Avg time,0.114177,4;
f5e4,0.0948784,4;
e1e2,0.000685497,4;
b7b3,0.0751101,4;
a6b7,0.193387,4;
c7c8q,0.0674177,4;
Avg time,0.100831,4;
f5e4,0.838779,8;
e1e2,0.00068286,8;
b7b3,0.706562,8;
a6b7,1.47087,8;
c7c8q,0.595016,8;
Avg time,0.216482,4;
f5e4,0.0956025,12;
e1e2,0.000680772,12;
b7b3,0.078131,12;
a6b7,0.205868,12;
c7c8q,0.0678266,12;
Avg time,0.190700,4;
f5e4,0.1164,16;
e1e2,0.000683865,16;
b7b3,0.0845346,16;
a6b7,0.228974,16;
c7c8q,0.0760483,16;
Avg time,0.174761,4;
f5e4,0.118081,24;
e1e2,0.000685045,24;
b7b3,0.0826052,24;
a6b7,0.256358,24;
c7c8q,0.0800776,24;
Avg time,0.163894,4;
f5e4,0.140339,32;
e1e2,0.000676287,32;
b7b3,0.0895205,32;
a6b7,0.266591,32;
c7c8q,0.0816097,32;
Avg time,0.156401,4;
f5e4,0.186042,64;
e1e2,0.000679734,64;
b7b3,0.128349,64;
a6b7,0.341742,64;
c7c8q,0.0994105,64;
Avg time,0.153414,4;
f5e4,0.170727,96;
e1e2,0.000674795,96;
b7b3,0.149915,96;
a6b7,0.424126,96;
c7c8q,0.134429,96;
Avg time,0.152817,4;
