e4f5,4.00936,8;
c2b1,3.68242,8;
h2h1,1.65694,8;
h1h8,38.1994,8;
b5a4,10.8127,8;
Avg time,11.672164,7;
e4e5,0.251284,12;
c2b1,0.191854,12;
h2g1,0.113727,12;
h1h8,3.03243,12;
b5a4,0.805102,12;
Avg time,6.202282,7;
e4d4,0.289242,16;
c2b1,0.230382,16;
h2g1,0.121754,16;
h1h8,3.40742,16;
b5a4,0.902097,16;
Avg time,4.504240,7;
e4d3,0.365668,24;
c2b1,0.224538,24;
h2g1,0.143785,24;
h1h8,3.90096,24;
b5a4,1.05895,24;
Avg time,3.683796,7;
e4f4,0.433615,32;
c2b1,0.261099,32;
h2g1,0.181538,32;
h1h8,4.45859,32;
b5a4,1.23765,32;
Avg time,3.213181,7;
e4f5,0.621759,64;
c2b1,0.423348,64;
h2g1,0.255777,64;
h1h8,6.65204,64;
b5a4,1.88891,64;
Avg time,2.977250,7;
e4f5,0.800046,96;
c2b1,0.607706,96;
h2g1,0.352666,96;
h1h8,8.88807,96;
b5a4,2.32397,96;
Avg time,2.873185,7;
