e4d3,0.0230971,1;
c2b1,0.0139832,1;
h2g1,0.00934227,1;
h1h8,0.123784,1;
a7a8q,0.0536683,1;
Avg time,0.044775,5;
e4d3,0.0194158,2;
c2b1,0.0107955,2;
h2g1,0.00901619,2;
h1h8,0.11716,2;
a7a8q,0.0370593,2;
Avg time,0.038508,5;
e4d3,0.386983,4;
c2b1,0.359076,4;
h2g1,0.282993,4;
h1h8,2.06019,4;
a7a8q,0.892295,4;
Avg time,0.235902,5;
e4d3,0.371725,8;
c2b1,0.307924,8;
h2g1,0.282927,8;
h1h8,2.0578,8;
a7a8q,0.775669,8;
Avg time,0.327465,5;
e4d3,0.027798,12;
c2b1,0.0176282,12;
h2g1,0.0187002,12;
h1h8,0.166319,12;
a7a8q,0.0556036,12;
Avg time,0.276594,5;
e4d3,0.0298998,16;
c2b1,0.0175277,16;
h2g1,0.0221437,16;
h1h8,0.156186,16;
a7a8q,0.0598539,16;
Avg time,0.242245,5;
e4d3,0.0309833,24;
c2b1,0.026072,24;
h2g1,0.0260396,24;
h1h8,0.183406,24;
a7a8q,0.0746093,24;
Avg time,0.218578,5;
e4d3,0.0365415,32;
c2b1,0.026487,32;
h2g1,0.0281457,32;
h1h8,0.217377,32;
a7a8q,0.0797146,32;
Avg time,0.201482,5;
e4d3,0.0536987,64;
c2b1,0.0426589,64;
h2g1,0.0503468,64;
h1h8,0.334652,64;
a7a8q,0.128162,64;
Avg time,0.191656,5;
e4d3,0.0919304,96;
c2b1,0.0597402,96;
h2g1,0.0550577,96;
h1h8,0.419734,96;
a7a8q,0.164387,96;
Avg time,0.186375,5;
