h8f7,0.625379,1;
e1e2,0.000795916,1;
b7b3,0.9444,1;
a6b7,1.76165,1;
h4g5,0.572622,1;
Avg time,0.780969,5;
h8f7,0.345347,2;
e1e2,0.000785828,2;
b7b3,0.814595,2;
a6b7,0.98247,2;
h4g5,0.570461,2;
Avg time,0.616623,5;
h8f7,0.253999,4;
e1e2,0.000788695,4;
b7b3,0.833174,4;
a6b7,0.91697,4;
h4g5,0.591726,4;
Avg time,0.558566,5;
h8f7,2.7354,8;
e1e2,0.000798313,8;
b7b3,8.43689,8;
a6b7,8.7806,8;
h4g5,5.72515,8;
Avg time,1.417314,5;
h8f7,0.274409,12;
e1e2,0.00078228,12;
b7b3,0.954774,12;
a6b7,1.10323,12;
h4g5,0.709592,12;
Avg time,1.251826,5;
h8f7,0.332031,16;
e1e2,0.000786986,16;
b7b3,0.969075,16;
a6b7,1.16441,16;
h4g5,0.716892,16;
Avg time,1.143632,5;
h8f7,0.35371,24;
e1e2,0.000787412,24;
b7b3,1.02312,24;
a6b7,1.32131,24;
h4g5,0.779053,24;
Avg time,1.071636,5;
h8f7,0.385007,32;
e1e2,0.000776467,32;
b7b3,1.12956,32;
a6b7,1.43604,32;
h4g5,0.82077,32;
Avg time,1.022420,5;
h8f7,0.414717,64;
e1e2,0.000781714,64;
b7b3,1.46647,64;
a6b7,1.73975,64;
h4g5,1.07247,64;
Avg time,0.998808,5;
h8f7,0.49833,96;
e1e2,0.000820083,96;
b7b3,1.78614,96;
a6b7,2.20161,96;
h4g5,1.3262,96;
Avg time,0.996165,5;
